Fecha,Resultado,Federal,U de G,Privado,Serológicas
17/04/2020,Confirmados,190,0,18,Na
17/04/2020,Descartados,2601,110,271,Na
17/04/2020,Sospechosos,573,18,Na,Na
18/04/2020,Confirmados,196,0,18,Na
18/04/2020,Descartados,2666,110,271,Na
18/04/2020,Sospechosos,547,18,Na,Na
19/04/2020,Confirmados,198,0,18,Na
19/04/2020,Descartados,2805,110,271,Na
19/04/2020,Sospechosos,372,0,Na,Na
20/04/2020,Confirmados,216,0,18,Na
20/04/2020,Descartados,"2,936",143,271,Na
20/04/2020,Sospechosos,276,185,Na,Na
21/04/2020,Confirmados,226,9,18,Na
21/04/2020,Descartados,"2,979",348,271,Na
21/04/2020,Sospechosos,265,52,Na,Na
22/04/2020,Confirmados,235,10,18,Na
22/04/2020,Descartados,"3,410",400,312,Na
22/04/2020,Sospechosos,356,37,Na,Na
23/04/2020,Confirmados,254,15,18,Na
23/04/2020,Descartados,3581,496,322,Na
23/04/2020,Sospechosos,451,221,Na,Na
24/04/2020,Confirmados,271,20,21,Na
24/04/2020,Descartados,"3,825",835,361,Na
24/04/2020,Sospechosos,765,273,Na,Na
25/04/2020,Confirmados,271,20,21,Na
25/04/2020,Descartados,"3,825",835,361,Na
25/04/2020,Sospechosos,765,273,Na,Na
26/04/2020,Confirmados,282,25,21,Na
26/04/2020,Descartados,"3,915",835,361,Na
26/04/2020,Sospechosos,776,327,Na,Na
27/04/2020,Confirmados,303,46,22,Na
27/04/2020,Descartados,"4,164",885,361,Na
27/04/2020,Sospechosos,636,366,Na,Na
28/04/2020,Confirmados,316,49,22,Na
28/04/2020,Descartados,"4,412","1,137",395,Na
28/04/2020,Sospechosos,565,228,Na,Na
29/04/2020,Confirmados,326,57,23,Na
29/04/2020,Descartados,"4,533","1,343",405,Na
29/04/2020,Sospechosos,640,164,Na,Na
30/04/2020,Confirmados,347,67,27,Na
30/04/2020,Descartados,"4,642","1,508",419,Na
30/04/2020,Sospechosos,690,155,Na,Na
01/05/2020,Confirmados,375,77,31,Na
01/05/2020,Descartados,"4,872","1,738",419,Na
01/05/2020,Sospechosos,615,137,Na,Na
02/05/2020,Confirmados,387,92,31,Na
02/05/2020,Descartados,"4,994","1,812",419,Na
02/05/2020,Sospechosos,578,110,Na,Na
03/05/2020,Confirmados,417,100,34,Na
03/05/2020,Descartados,"5,186","1,876",444,Na
03/05/2020,Sospechosos,402,92,Na,Na
04/05/2020,Confirmados,447,100,37,Na
04/05/2020,Descartados,"5,428","1,876",444,Na
04/05/2020,Sospechosos,310,92,Na,Na
05/05/2020,Confirmados,469,109,43,Na
05/05/2020,Descartados,"5,518","1,927",450,Na
05/05/2020,Sospechosos,335,166,Na,Na
06/05/2020,Confirmados,492,126,47,Na
06/05/2020,Descartados,"5,631","1,934",463,Na
06/05/2020,Sospechosos,378,256,Na,Na
07/05/2020,Confirmados,508,140,49,Na
07/05/2020,Descartados,"5,839","2,163",507,Na
07/05/2020,Sospechosos,312,123,Na,Na
08/05/2020,Confirmados,554,167,49,Na
08/05/2020,Descartados,"5,909","2,581",551,Na
08/05/2020,Sospechosos,394,55,Na,Na
09/05/2020,Confirmados,592,187,50,Na
09/05/2020,Descartados,"6,062","2,755",628,Na
09/05/2020,Sospechosos,440,55,Na,Na
10/05/2020,Confirmados,593,187,53,Na
10/05/2020,Descartados,"6,103","2,785",628,Na
10/05/2020,Sospechosos,537,96,Na,Na
11/05/2020,Confirmados,636,188,54,Na
11/05/2020,Descartados,"6,249","2,787",648,Na
11/05/2020,Sospechosos,565,96,Na,Na
12/05/2020,Confirmados,670,199,58,Na
12/05/2020,Descartados,"6,561","2,921",692,Na
12/05/2020,Sospechosos,477,89,Na,Na
13/05/2020,Confirmados,699,214,63,Na
13/05/2020,Descartados,"6,768","3,143",700,Na
13/05/2020,Sospechosos,453,46,Na,Na
14/05/2020,Confirmados,747,231,66,Na
14/05/2020,Descartados,"6,985","3,312",737,Na
14/05/2020,Sospechosos,477,138,Na,Na
15/05/2020,Confirmados,767,244,67,Na
15/05/2020,Descartados,"7,103","3,531",755,Na
15/05/2020,Sospechosos,738,52,Na,Na
16/05/2020,Confirmados,796,255,89,Na
16/05/2020,Descartados,"7,323","3,673",870,Na
16/05/2020,Sospechosos,779,49,Na,Na
17/05/2020,Confirmados,845,260,104,Na
17/05/2020,Descartados,"7,666","3,734",903,Na
17/05/2020,Sospechosos,468,41,Na,Na
18/05/2020,Confirmados,884,267,106,Na
18/05/2020,Descartados,"7,833","3,738",964,Na
18/05/2020,Sospechosos,430,42,Na,Na
19/05/2020,Confirmados,919,279,112,Na
19/05/2020,Descartados,"7,972","3,958","1,030",Na
19/05/2020,Sospechosos,511,68,Na,Na
20/05/2020,Confirmados,967,314,127,Na
20/05/2020,Descartados,"8,126","4,201","1,115",Na
20/05/2020,Sospechosos,550,28,Na,Na
21/05/2020,Confirmados,"1,028",328,146,Na
21/05/2020,Descartados,"8,275","4,365","1,163",Na
21/05/2020,Sospechosos,599,57,Na,Na
22/05/2020,Confirmados,"1,095",343,156,Na
22/05/2020,Descartados,"8,446","4,578","1,206",Na
22/05/2020,Sospechosos,638,43,Na,Na
23/05/2020,Confirmados,"1,132",359,189,Na
23/05/2020,Descartados,"8,562","4,797","1,254",Na
